product_id,product_name,category,price
501,Product_501,Sports,1290.04
502,Product_502,Sports,2894.29
503,Product_503,Footwear,1566.47
504,Product_504,Apparel,6830.65
505,Product_505,Beauty,1051
506,Product_506,Home,510.47
507,Product_507,Apparel,2341.65
508,Product_508,Beauty,6098.78
509,Product_509,Beauty,2147.61
510,Product_510,Sports,7071.98
511,Product_511,Home,2359.32
512,Product_512,Beauty,2925.27
513,Product_513,Books,262.69
514,Product_514,Books,1763.66
515,Product_515,Home,3533.46
516,Product_516,Footwear,2309.07
517,Product_517,Books,3497.63
518,Product_518,Apparel,3922.29
519,Product_519,Electronics,8504.44
520,Product_520,Beauty,2791.3
521,Product_521,Apparel,7350.37
522,Product_522,Beauty,1422.3
523,Product_523,Home,971.24
524,Product_524,Electronics,8327.17
525,Product_525,Beauty,8876.43
526,Product_526,Electronics,5857.05
527,Product_527,Sports,880.64
528,Product_528,Sports,2432.4
529,Product_529,Electronics,9854.17
530,Product_530,Books,2480.35
531,Product_531,Apparel,3924.24
532,Product_532,Home,6428.71
533,Product_533,Electronics,1793.01
534,Product_534,Electronics,2252.17
535,Product_535,Electronics,7076.84
536,Product_536,Sports,6549.75
537,Product_537,Beauty,6421.79
538,Product_538,Beauty,7344.44
539,Product_539,Footwear,4729.15
540,Product_540,Electronics,9896.33
541,Product_541,Sports,6942.99
542,Product_542,Footwear,6908.22
543,Product_543,Books,7728.47
544,Product_544,Apparel,2443.67
545,Product_545,Apparel,8088.45
546,Product_546,Home,2822.86
547,Product_547,Footwear,9147.73
548,Product_548,Beauty,8787.4
549,Product_549,Electronics,2282.74
550,Product_550,Home,4076.19
551,Product_551,Sports,4695.75
552,Product_552,Electronics,1567.38
553,Product_553,Sports,5700.41
554,Product_554,Electronics,7519.74
555,Product_555,Home,8997.66
556,Product_556,Home,3746.57
557,Product_557,Footwear,5192.36
558,Product_558,Apparel,7605.67
559,Product_559,Books,1273.56
560,Product_560,Sports,1766.82
561,Product_561,Sports,4336.17
562,Product_562,Apparel,3969.72
563,Product_563,Beauty,9960.99
564,Product_564,Beauty,2662.86
565,Product_565,Beauty,8634.64
566,Product_566,Apparel,6865.78
567,Product_567,Apparel,6879.76
568,Product_568,Beauty,7557.6
569,Product_569,Books,6480.43
570,Product_570,Apparel,3075.3
571,Product_571,Footwear,4645.49
572,Product_572,Sports,8782.36
573,Product_573,Electronics,9723.5
574,Product_574,Books,1949.79
575,Product_575,Apparel,8730.08
576,Product_576,Electronics,8447.36
577,Product_577,Beauty,6166.91
578,Product_578,Footwear,3863.36
579,Product_579,Footwear,5484.91
580,Product_580,Books,9238.85
581,Product_581,Apparel,6068.66
582,Product_582,Home,389.87
583,Product_583,Electronics,8810.47
584,Product_584,Books,8105.39
585,Product_585,Footwear,766.67
586,Product_586,Beauty,9479.1
587,Product_587,Apparel,7371.69
588,Product_588,Books,877.28
589,Product_589,Books,5419.52
590,Product_590,Footwear,1457.24
591,Product_591,Home,9478.12
592,Product_592,Footwear,2796.55
593,Product_593,Books,6143.62
594,Product_594,Footwear,9302.35
595,Product_595,Books,7352.32
596,Product_596,Footwear,7185.9
597,Product_597,Home,9951.46
598,Product_598,Sports,3858.52
599,Product_599,Beauty,4623.56
600,Product_600,Footwear,2401.03
